Model,FeaturePermutation_PositiveAttributionRatio,FeaturePermutation_RelevanceRankAccuracy,GradCAM_PositiveAttributionRatio,GradCAM_RelevanceRankAccuracy,GradientShap_PositiveAttributionRatio,GradientShap_RelevanceRankAccuracy,IntegratedGradients_PositiveAttributionRatio,IntegratedGradients_RelevanceRankAccuracy,Saliency_PositiveAttributionRatio,Saliency_RelevanceRankAccuracy
CheXpert,0.1907±0.0027,0.1842±0.0025,0.1953±0.0050,0.2159±0.0070,0.1731±0.0043,0.1663±0.0038,0.1743±0.0027,0.1674±0.0032,0.2102±0.0042,0.2073±0.0034
DenseNet121,0.2494±0.0266,0.2704±0.0389,0.1503±0.0508,0.1607±0.0777,0.1140±0.0158,0.1178±0.0085,0.1147±0.0148,0.1180±0.0091,0.1764±0.0296,0.1585±0.0171
DenseNet169,0.1699±0.0382,0.1876±0.0374,0.1587±0.0036,0.1516±0.0282,0.1224±0.0292,0.1238±0.0104,0.1282±0.0341,0.1278±0.0101,0.1833±0.0411,0.1690±0.0192
DenseNet201,0.1754±0.0468,0.1944±0.0599,0.1731±0.0138,0.1804±0.0130,0.1125±0.0357,0.1182±0.0205,0.1130±0.0355,0.1181±0.0210,0.1637±0.0341,0.1589±0.0248
ResNet101,0.1688±0.0334,0.1741±0.0410,0.1658±0.0119,0.1917±0.0459,0.1405±0.0198,0.1447±0.0136,0.1462±0.0252,0.1491±0.0186,0.1762±0.0159,0.1685±0.0135
ResNet18,0.1964±0.0242,0.2027±0.0220,0.1395±0.0277,0.1287±0.0462,0.1813±0.0389,0.1692±0.0202,0.1835±0.0401,0.1714±0.0205,0.2082±0.0187,0.1953±0.0155
ResNet34,0.2258±0.0392,0.2132±0.0369,0.1559±0.0192,0.1531±0.0170,0.1911±0.0235,0.1694±0.0069,0.1930±0.0193,0.1698±0.0084,0.2388±0.0311,0.2061±0.0193
ResNet50,0.1845±0.0095,0.1762±0.0034,0.1458±0.0206,0.1479±0.0340,0.1285±0.0024,0.1402±0.0012,0.1316±0.0015,0.1411±0.0012,0.1979±0.0108,0.1839±0.0044
ResNet50-ImageNet,0.1960±0.0136,0.2105±0.0133,0.1758±0.0108,0.1891±0.0191,0.1366±0.0084,0.1424±0.0052,0.1399±0.0091,0.1450±0.0052,0.1719±0.0096,0.1791±0.0074
